raw_stage,agg_stage,target,target_index,K,K_rule,R2,MSE,WAIC,features,coefs,equation_latex
4_6_7_8,4_to_8,x_mean,1,4,fixed from previous 4-8 manual bottleneck K=475657,0.99686060081288,0.3433328817725797,1578.7141711037004,mother_x;mother_x_adj_xj_pow2;mother_x_adj_xj_pow3;mother_x_adj_xi_xj2,1.03249519477;0.0165302005733;0.00139397860667;-0.00345098271848,"\widehat{x_{\mathrm{mean}}} &= 1.03\,m_x + 0.02\,\langle x_j^2\rangle_N + 1.39\times 10^{-3}\,\langle x_j^3\rangle_N\\&\quad - 3.45\times 10^{-3}\,\langle m_xx_j^2\rangle_N"
4_6_7_8,4_to_8,x_half,2,7,fixed from previous 4-8 manual bottleneck K=475657,0.5884414498590846,0.5742449712122851,2041.46195017434,mother_z_z;mother_x_adj_xj_minus_xi_pow2;mother_y_adj_xj_minus_xi_pow2;mother_x_adj_xj;mother_x_adj_xj_pow2;mother_2d_couple_xz_xi2_xj;mother_y_adj_xi_xj_pow3,-0.00185424682567;0.00520566703811;0.108856303885;-0.413738375055;0.0120482841151;0.00109536766777;0.00299657524692,"\widehat{x_{\mathrm{half}}} &= - 1.85\times 10^{-3}\,m_z^2 + 5.21\times 10^{-3}\,\langle (x_j-m_x)^2\rangle_N + 0.11\,\langle (y_j-m_y)^2\rangle_N\\&\quad - 0.41\,\langle x_j\rangle_N + 0.01\,\langle x_j^2\rangle_N + 1.10\times 10^{-3}\,m_x^2m_z\\&\quad + 3.00\times 10^{-3}\,\langle (m_yy_j)^3\rangle_N"
4_6_7_8,4_to_8,y_mean,3,5,fixed from previous 4-8 manual bottleneck K=475657,0.9558649650301982,0.0990364445454461,476.74141052881566,mother_x_adj_xj;mother_x;mother_z;mother_2d_couple_yz_xi_xj;mother_x_adj_xj_pow2,-0.226029096403;-0.107504402316;-0.0899154081821;-0.04657578392;-0.00107548764049,"\widehat{y_{\mathrm{mean}}} &= - 0.23\,\langle x_j\rangle_N - 0.11\,m_x - 0.09\,m_z\\&\quad - 0.05\,m_ym_z - 1.08\times 10^{-3}\,\langle x_j^2\rangle_N"
4_6_7_8,4_to_8,y_half,4,6,fixed from previous 4-8 manual bottleneck K=475657,0.8518997239996176,0.1985231686603225,1096.2725082984202,mother_x_adj_xj_minus_xi_pow2;mother_x_adj_xi_xj2;mother_2d_couple_xz_xi_xj2;mother_x_adj_xj_pow3;mother_x_adj_xj_pow2;mother_x_adj_xi_xj,0.00979429541442;0.00157495143531;0.00214736814345;0.000943781255146;0.00869262355793;0.0505619857789,"\widehat{y_{\mathrm{half}}} &= 9.79\times 10^{-3}\,\langle (x_j-m_x)^2\rangle_N + 1.57\times 10^{-3}\,\langle m_xx_j^2\rangle_N + 2.15\times 10^{-3}\,m_xm_z^2\\&\quad + 9.44\times 10^{-4}\,\langle x_j^3\rangle_N + 8.69\times 10^{-3}\,\langle x_j^2\rangle_N + 0.05\,\langle m_xx_j\rangle_N"
4_6_7_8,4_to_8,z_mean,5,5,fixed from previous 4-8 manual bottleneck K=475657,0.99163666245195,0.3366840073563278,1563.3487534690585,mother_z;mother_y_adj_xj_minus_xi_pow2;mother_2d_couple_xz_xi_xj2;mother_z_adj_xi2_xj;mother_2d_couple_xy_xj_minus_xi_pow2,1.22013093449;-0.138077471055;0.00656285080181;0.0141017795258;0.00295172009951,"\widehat{z_{\mathrm{mean}}} &= 1.22\,m_z - 0.14\,\langle (y_j-m_y)^2\rangle_N + 6.56\times 10^{-3}\,m_xm_z^2\\&\quad + 0.01\,\langle m_z^2z_j\rangle_N + 2.95\times 10^{-3}\,(m_y-m_x)^2"
4_6_7_8,4_to_8,z_half,6,7,fixed from previous 4-8 manual bottleneck K=475657,0.9111976943730784,0.2418835274700514,1273.6973583765716,mother_x_x;mother_x_adj_xi_xj;mother_x_adj_xj_pow2;mother_2d_couple_xz_xi_xj;mother_x_adj_xi_xj_pow2;mother_3d_couple_prod_sq_xy2z;mother_y_adj_xj_pow3,0.00955577503727;0.0219242621744;0.00304040731341;-0.0162232361992;0.00017940325534;2.07220859881e-05;0.00361493532619,"\widehat{z_{\mathrm{half}}} &= 9.56\times 10^{-3}\,m_x^2 + 0.02\,\langle m_xx_j\rangle_N + 3.04\times 10^{-3}\,\langle x_j^2\rangle_N\\&\quad - 0.02\,m_xm_z + 1.79\times 10^{-4}\,\langle (m_xx_j)^2\rangle_N + 2.07\times 10^{-5}\,(m_xm_y^2m_z)^2\\&\quad + 3.61\times 10^{-3}\,\langle y_j^3\rangle_N"
8_to_12,8_to_12,x_mean,1,5,composite: minimize normalized R2 loss + normalized WAIC loss + 0.02*K within K<=8,0.9946506154061112,0.4384655402242007,1765.6874252203438,mother_x;mother_y_adj_xj;mother_x_adj_xj;mother_z_adj_xi_xj2;mother_2d_couple_xz_xi_xj,0.628538594106;-0.589369079101;1.08803180224;0.00319433120689;-0.00395751609311,"\widehat{x_{\mathrm{mean}}} &= 0.63\,m_x - 0.59\,\langle y_j\rangle_N + 1.09\,\langle x_j\rangle_N\\&\quad + 3.19\times 10^{-3}\,\langle m_zz_j^2\rangle_N - 3.96\times 10^{-3}\,m_xm_z"
8_to_12,8_to_12,x_half,2,6,composite: minimize normalized R2 loss + normalized WAIC loss + 0.02*K within K<=8,0.6576994342771202,0.6051161758328494,2048.5928447846304,mother_y_adj_xj_minus_xi_pow2;mother_z_adj_xj;mother_y_y;mother_z_adj_xi_xj2;mother_x_adj_xj_minus_xi_pow2;mother_y_adj_xj_pow3,0.12049980112;-0.0625243910873;-0.101490589917;-0.00462203399237;0.00951222037995;-0.0109827030986,"\widehat{x_{\mathrm{half}}} &= 0.12\,\langle (y_j-m_y)^2\rangle_N - 0.06\,\langle z_j\rangle_N - 0.10\,m_y^2\\&\quad - 4.62\times 10^{-3}\,\langle m_zz_j^2\rangle_N + 9.51\times 10^{-3}\,\langle (x_j-m_x)^2\rangle_N - 0.01\,\langle y_j^3\rangle_N"
8_to_12,8_to_12,y_mean,3,8,composite: minimize normalized R2 loss + normalized WAIC loss + 0.02*K within K<=8,0.9813977223110124,0.3056211835310781,1456.952235654725,mother_y;mother_z_adj_xi_xj2;mother_z_adj_xi2_xj;mother_y_adj_xi_xj;mother_2d_couple_yz_xi_xj2;mother_x_adj_xj_pow3;mother_x_x;mother_2d_couple_xy_xi2_xj,0.995444026908;0.0128208116544;0.00436704854335;0.235143016271;-0.0107678076773;0.000785942016412;0.00262254540967;-0.00207323690773,"\widehat{y_{\mathrm{mean}}} &= 1.00\,m_y + 0.01\,\langle m_zz_j^2\rangle_N + 4.37\times 10^{-3}\,\langle m_z^2z_j\rangle_N\\&\quad + 0.24\,\langle m_yy_j\rangle_N - 0.01\,m_ym_z^2 + 7.86\times 10^{-4}\,\langle x_j^3\rangle_N\\&\quad + 2.62\times 10^{-3}\,m_x^2 - 2.07\times 10^{-3}\,m_x^2m_y"
8_to_12,8_to_12,y_half,4,8,composite: minimize normalized R2 loss + normalized WAIC loss + 0.02*K within K<=8,0.925467983593874,0.2075603060701552,1119.554120819531,mother_2d_couple_yz_xj_minus_xi_pow2;mother_x_adj_xj;mother_2d_couple_yz_xi_xj;mother_z;mother_x_adj_xj_pow3;mother_3d_couple_prod_xyz;mother_z_adj_xi2_xj;mother_z_adj_xi_xj_pow2,0.00749337448652;-0.0139770101939;-0.0149599890694;0.180952682407;-0.00103774084435;-0.00143765851083;0.00694633001357;0.000350585352207,"\widehat{y_{\mathrm{half}}} &= 7.49\times 10^{-3}\,(m_z-m_y)^2 - 0.01\,\langle x_j\rangle_N - 0.01\,m_ym_z\\&\quad + 0.18\,m_z - 1.04\times 10^{-3}\,\langle x_j^3\rangle_N - 1.44\times 10^{-3}\,m_xm_ym_z\\&\quad + 6.95\times 10^{-3}\,\langle m_z^2z_j\rangle_N + 3.51\times 10^{-4}\,\langle (m_zz_j)^2\rangle_N"
