k,order,n_features_used,R2,MSE,WAIC,removed_feature,alpha_fixed
2,Original order,2,0.8108668065169296,0.5151691015046317,1935.0598841285582,mother_x_x,19.011417434592296
2,Remove $m_x^2$,1,-0.4849488828661721,4.04476743441097,3762.94739516715,mother_x_x,19.011417434592296
3,Original order,3,0.833267780021512,0.45415236942995324,1825.1164356463191,mother_x_x,19.011417434592296
3,Remove $m_x^2$,2,-0.4636659321057752,3.986796020622187,3752.128095474952,mother_x_x,19.011417434592296
4,Original order,4,0.833267780021512,0.45415236942995324,1827.1164356463191,mother_x_x,19.011417434592296
4,Remove $m_x^2$,3,0.5750265132614696,1.1575610039386144,2655.962740364761,mother_x_x,19.011417434592296
5,Original order,5,0.8788455926347067,0.3300055692830623,1545.5574107042714,mother_x_x,19.011417434592296
5,Remove $m_x^2$,4,0.685847961850095,0.8557007907975812,2389.6537923952196,mother_x_x,19.011417434592296
6,Original order,6,0.8788455926347067,0.3300055692830623,1547.5574107042714,mother_x_x,19.011417434592296
6,Remove $m_x^2$,5,0.685847961850095,0.8557007907975812,2391.6537923952196,mother_x_x,19.011417434592296
7,Original order,7,0.8788455926347067,0.3300055692830623,1549.5574107042714,mother_x_x,19.011417434592296
7,Remove $m_x^2$,6,0.685847961850095,0.8557007907975812,2393.6537923952196,mother_x_x,19.011417434592296
8,Original order,8,0.8791817936739585,0.32908981047771135,1549.089803230729,mother_x_x,19.011417434592296
8,Remove $m_x^2$,7,0.685390488600173,0.8569468760499079,2396.945971657469,mother_x_x,19.011417434592296
9,Original order,9,0.8792595050523394,0.3288781368933982,1550.518449716912,mother_x_x,19.011417434592296
9,Remove $m_x^2$,8,0.685390488600173,0.8569468760499079,2398.945971657469,mother_x_x,19.011417434592296
10,Original order,10,0.8777806588419995,0.3329062816067297,1563.3287274482914,mother_x_x,19.011417434592296
10,Remove $m_x^2$,9,0.6846250443160578,0.8590318260094444,2403.103849809364,mother_x_x,19.011417434592296
11,Original order,11,0.8778369375226893,0.3327529873233157,1564.9197334406008,mother_x_x,19.011417434592296
11,Remove $m_x^2$,10,0.6892197642213206,0.846516530932636,2392.0713474312292,mother_x_x,19.011417434592296
12,Original order,12,0.8778369385773801,0.33275298445050344,1566.9197257740814,mother_x_x,19.011417434592296
12,Remove $m_x^2$,11,0.6381963235189378,0.9854963663504432,2529.0612974876394,mother_x_x,19.011417434592296
13,Original order,13,0.8778369385773801,0.33275298445050344,1568.9197257740814,mother_x_x,19.011417434592296
13,Remove $m_x^2$,12,0.7322017714524354,0.7294402967807445,2263.8905879489607,mother_x_x,19.011417434592296
14,Original order,14,0.8778369385773801,0.33275298445050344,1570.9197257740814,mother_x_x,19.011417434592296
14,Remove $m_x^2$,13,0.7322017714524354,0.7294402967807445,2265.8905879489607,mother_x_x,19.011417434592296
15,Original order,15,0.8778369385773801,0.33275298445050344,1572.9197257740814,mother_x_x,19.011417434592296
15,Remove $m_x^2$,14,0.7322017714524354,0.7294402967807445,2267.8905879489607,mother_x_x,19.011417434592296
16,Original order,16,0.8778369385773801,0.33275298445050344,1574.9197257740814,mother_x_x,19.011417434592296
16,Remove $m_x^2$,15,0.7322017714524354,0.7294402967807445,2269.8905879489607,mother_x_x,19.011417434592296
17,Original order,17,0.8778369385773801,0.33275298445050344,1576.9197257740814,mother_x_x,19.011417434592296
17,Remove $m_x^2$,16,0.7322017714524354,0.7294402967807445,2271.8905879489607,mother_x_x,19.011417434592296
18,Original order,18,0.8778369385773801,0.33275298445050344,1578.9197257740814,mother_x_x,19.011417434592296
18,Remove $m_x^2$,17,0.7322017714524354,0.7294402967807445,2273.8905879489607,mother_x_x,19.011417434592296
19,Original order,19,0.8778369385773801,0.33275298445050344,1580.9197257740814,mother_x_x,19.011417434592296
19,Remove $m_x^2$,18,0.7322017714524354,0.7294402967807445,2275.8905879489607,mother_x_x,19.011417434592296
20,Original order,20,0.8936250461956224,0.289748660004005,1460.0324527366924,mother_x_x,19.011417434592296
20,Remove $m_x^2$,19,0.893624418288557,0.28975037032419143,1458.03769438248,mother_x_x,19.011417434592296
