dest_label,train_size,best_nonRF_baseline_all_R2,best_structured_all_R2,delta_all_R2_vs_nonRF,best_nonRF_baseline_position_RMSE,best_structured_position_RMSE,delta_position_RMSE_vs_nonRF
12-14,5,-0.024851441331495933,0.0219030691241327,0.04675451045562863,2.806441389275822,2.6787269279441777,-0.12771446133164455
12-14,10,0.07555646062211814,0.238665384221486,0.16310892359936785,2.635031957478036,2.2127688269346213,-0.4222631305434148
12-14,20,0.0819254463430872,0.33374049845333587,0.2518150521102487,2.306218502564766,1.9918497982296248,-0.3143687043351413
12-14,40,0.3151830456348875,0.37977831388810857,0.06459526825322104,1.7686355636742104,1.7494554788414092,-0.019180084832801203
12-14,80,0.43586572157099646,0.4608192725807055,0.02495355100970903,1.6196841691765818,1.625516750455117,0.005832581278535143
14-15,5,-1.9496888294727945,-1.6189229937624552,0.33076583571033935,2.2957128670544775,2.3033589777551904,0.00764611070071286
14-15,10,-1.90998481866767,-0.9487205772701257,0.9612642413975443,2.288964990172485,2.008298482087526,-0.2806665080849591
14-15,20,-1.9043627711641513,-0.15444972842485208,1.7499130427392993,2.294716289653856,1.587913922337714,-0.7068023673161423
14-15,40,-0.9069476017425866,0.0028594553750961663,0.9098070571176827,1.9813400709162072,1.4799749325006946,-0.5013651384155127
14-15,80,-0.20503371317991323,0.0812495186858459,0.2862832318657591,1.6457433712574268,1.4163893258945708,-0.22935404536285597
15-24,5,0.3426433554169312,0.29092500217463096,-0.05171835324230023,3.5888506488235996,7.766336721806173,4.177486072982573
15-24,10,0.41508162899220435,0.6469049953037298,0.23182336631152545,3.4818034961174766,4.560646760561642,1.0788432644441657
15-24,20,0.5898300725563296,0.7830264516625238,0.19319637910619425,3.390835566183205,2.3299013083859013,-1.0609342577973035
15-24,40,0.7014289953105436,0.8350427927546679,0.13361379744412427,2.565970285065291,2.0475415731840942,-0.5184287118811968
15-24,80,0.7921609847473512,0.8404071872955566,0.04824620254820544,2.104247560939466,1.9107622455159945,-0.19348531542347147
4-8,5,0.1992899140794119,-8.290820349848165,-8.490110263927576,3.6072435488529777,14.941884605230692,11.334641056377714
4-8,10,0.38323278150307827,0.19050262707727442,-0.19273015442580385,3.3085073098357953,4.120756409766916,0.8122490999311203
4-8,20,0.3628416141631828,0.5946458450983338,0.23180423093515107,3.3658380083062345,2.336827787536352,-1.0290102207698824
4-8,40,0.7652527598526335,0.8602993293287732,0.09504656947613965,1.7942328135810854,1.5992051784184425,-0.195027635162643
4-8,80,0.7887673006134025,0.8530460820126544,0.06427878139925192,1.6790758042681706,1.4375303410629916,-0.241545463205179
8-12,5,0.3224697794084386,-3.38131117626027,-3.7037809556687087,4.239852902181734,4.5363900214874935,0.29653711930575977
8-12,10,0.3683788986526391,0.2532886294920676,-0.11509026916057152,4.1948585621786485,4.689661836831651,0.49480327465300267
8-12,20,0.5951692318848751,0.8396348860768162,0.2444656541919411,3.5269313927858836,2.0258830402439174,-1.5010483525419662
8-12,40,0.8300536866858584,0.8743571230179862,0.044303436332127744,2.1729810776515692,1.7960364413669971,-0.3769446362845721
8-12,80,0.8717714329907981,0.8823344178789853,0.010562984888187188,1.7893646009834203,1.715261705445126,-0.0741028955382943
