dest_label,train_size,rf_all_R2,best_structured_all_R2,delta_all_R2_vs_RF,rf_position_RMSE,best_structured_position_RMSE,delta_position_RMSE_vs_RF
12-14,5,0.0876561725643351,0.0219030691241327,-0.0657531034402024,4.320184071407495,2.6787269279441777,-1.6414571434633176
12-14,10,0.4211574301734587,0.238665384221486,-0.1824920459519727,2.1365543923476165,2.2127688269346213,0.07621443458700483
12-14,20,0.4569592399093499,0.33374049845333587,-0.12321874145601402,1.7604297365529644,1.9918497982296248,0.2314200616766604
12-14,40,0.47978607427747505,0.37977831388810857,-0.10000776038936648,1.6048182657161627,1.7494554788414092,0.14463721312524647
12-14,80,0.5058823192935299,0.4608192725807055,-0.045063046712824406,1.4930127087147442,1.625516750455117,0.13250404174037267
14-15,5,-0.4306825434640447,-1.6189229937624552,-1.1882404502984105,1.6933103415288133,2.3033589777551904,0.6100486362263771
14-15,10,-0.1552431336647632,-0.9487205772701257,-0.7934774436053625,1.582571266310757,2.008298482087526,0.42572721577676886
14-15,20,-0.09200747361163368,-0.15444972842485208,-0.0624422548132184,1.5395833041237736,1.587913922337714,0.048330618213940246
14-15,40,-0.019743483904772447,0.0028594553750961663,0.022602939279868613,1.5036823560712225,1.4799749325006946,-0.023707423570527908
14-15,80,0.03161086434148833,0.0812495186858459,0.04963865434435757,1.455574183402377,1.4163893258945708,-0.0391848575078062
15-24,5,-0.04333343389531377,0.29092500217463096,0.33425843606994476,14.249022183962197,7.766336721806173,-6.482685462156024
15-24,10,0.347519074837826,0.6469049953037298,0.2993859204659038,9.874604754160494,4.560646760561642,-5.3139579935988515
15-24,20,0.5345799943379421,0.7830264516625238,0.2484464573245817,7.209168404749323,2.3299013083859013,-4.879267096363422
15-24,40,0.5598943405618725,0.8350427927546679,0.2751484521927954,5.845096089556445,2.0475415731840942,-3.7975545163723505
15-24,80,0.7553977088237916,0.8404071872955566,0.08500947847176499,3.691319384236582,1.9107622455159945,-1.7805571387205876
4-8,5,0.021372392300541814,-8.290820349848165,-8.312192742148707,11.626054017634424,14.941884605230692,3.3158305875962686
4-8,10,0.5931387314296858,0.19050262707727442,-0.4026361043524114,7.465531326340579,4.120756409766916,-3.3447749165736633
4-8,20,0.6813092810592593,0.5946458450983338,-0.0866634359609254,5.6243927666376194,2.336827787536352,-3.2875649791012673
4-8,40,0.819102958576274,0.8602993293287732,0.041196370752499156,2.9044072915549966,1.5992051784184425,-1.305202113136554
4-8,80,0.8665149932161117,0.8530460820126544,-0.013468911203457279,1.5539696061532606,1.4375303410629916,-0.11643926509026903
8-12,5,0.26907317228065164,-3.38131117626027,-3.6503843485409218,8.879325331620725,4.5363900214874935,-4.342935310133232
8-12,10,0.5754130402540915,0.2532886294920676,-0.32212441076202386,6.924793666408955,4.689661836831651,-2.2351318295773037
8-12,20,0.7083343804147457,0.8396348860768162,0.13130050566207052,4.878693821390106,2.0258830402439174,-2.852810781146189
8-12,40,0.8405674897202505,0.8743571230179862,0.033789633297735655,2.4454791669573233,1.7960364413669971,-0.6494427255903261
8-12,80,0.8871625036854747,0.8823344178789853,-0.004828085806489413,1.8326751074035725,1.715261705445126,-0.11741340195844652
