raw_stage,target,k,R2,MSE,WAIC,alpha_fixed,feature_added
4_6_7_8,x_mean,1,0.9771469300459972,2.4992713245415215,3335.442141625604,5.253202635381024,mother_x
4_6_7_8,x_mean,2,0.9771469300459972,2.4992713245415215,3337.442141625604,5.253202635381024,mother_y_adj_xj
4_6_7_8,x_mean,3,0.9771469300459972,2.4992713245415215,3339.442141625604,5.253202635381024,mother_x_adj_xj
4_6_7_8,x_mean,4,0.9911435332577556,0.9685662981034192,2499.6735854458543,5.253202635381024,mother_x_adj_xj_pow2
4_6_7_8,x_mean,5,0.9911435332577556,0.9685662981034192,2501.6735854458543,5.253202635381024,mother_3d_couple_prod_xyz
4_6_7_8,x_mean,6,0.9882350054782287,1.2866504806939836,2755.848410654193,5.253202635381024,mother_x_adj_xi2_xj
4_6_7_8,x_mean,7,0.9798754400730871,2.200874352793072,3234.537821444319,5.253202635381024,mother_x_x
4_6_7_8,x_mean,8,0.9788111154508079,2.317271668944467,3282.301589093997,5.253202635381024,mother_2d_couple_xy_xi2_xj
4_6_7_8,x_mean,9,0.9809349725613186,2.085001116917679,3190.5100541284864,5.253202635381024,mother_z_adj_xi2_xj
4_6_7_8,x_mean,10,0.9729818918116527,2.954770767096404,3502.1127480284504,5.253202635381024,mother_x_adj_xi_xj2
4_6_7_8,x_mean,11,0.9729818918116527,2.954770767096404,3504.1127480284504,5.253202635381024,mother_y_adj_xi2_xj
4_6_7_8,x_mean,12,0.973213528843074,2.929438337296026,3498.466746248707,5.253202635381024,mother_x_adj_xj_pow3
4_6_7_8,x_mean,13,0.973213528843074,2.929438337296026,3500.466746248707,5.253202635381024,mother_y_y_y
4_6_7_8,x_mean,14,0.9759764179011666,2.6272815850662887,3405.7981630595505,5.253202635381024,mother_2d_couple_xz_xi2_xj
4_6_7_8,x_mean,15,0.9759764179011666,2.6272815850662887,3407.7981630595505,5.253202635381024,mother_y_adj_xj_pow3
4_6_7_8,x_mean,16,0.9759976480408485,2.624959801628446,3409.0130720192465,5.253202635381024,mother_2d_couple_yz_xi_xj_pow3
4_6_7_8,x_mean,17,0.975997648031298,2.6249598026729246,3411.0130723725847,5.253202635381024,mother_z_z_z
4_6_7_8,x_mean,18,0.9762495842567976,2.5974074000735388,3403.6430837957078,5.253202635381024,mother_3d_couple_prod_sq_xy2z
4_6_7_8,x_mean,19,0.9762495842567976,2.5974074000735388,3405.6430837957078,5.253202635381024,mother_2d_couple_yz_xi_xj_pow2
4_6_7_8,x_mean,20,0.9762497372876136,2.597390664224455,3407.637362135769,5.253202635381024,mother_x_adj_xi_xj_pow2
4_6_7_8,x_half,1,-6.020997364814689,9.79635200935343,4548.459779292023,0.7722741592167441,mother_y_adj_xj
4_6_7_8,x_half,2,-5.00189979557533,8.374411791831545,4411.195422164413,0.7722741592167441,mother_x_adj_xj
4_6_7_8,x_half,3,-1.490138843956652,3.474474551124922,3631.988449207034,0.7722741592167441,mother_y_adj_xj_minus_xi_pow2
4_6_7_8,x_half,4,-1.490138843956652,3.474474551124922,3633.988449207034,0.7722741592167441,mother_y_adj_xj_pow2
4_6_7_8,x_half,5,-1.0321574436000018,2.835456078604987,3455.5109200646366,0.7722741592167441,mother_x
4_6_7_8,x_half,6,-1.0321574436000018,2.835456078604987,3457.5109200646366,0.7722741592167441,mother_y_y_y
