raw_stage,stage,compression_block_merged,importance_sum,n_features,n_fixedterm_overlap,stage_total_importance,share
12_to_14,12-14,mother_coupling,0.2278435955937006,8,3,0.9878154319035544,0.2306540151479898
12_to_14,12-14,mother_neighbor_moment,0.2812860996885887,7,2,0.9878154319035544,0.2847557252133029
12_to_14,12-14,mother_polynomial,0.1419179549840385,4,3,0.9878154319035544,0.1436684935267286
12_to_14,12-14,neighbor_moment,0.2136757506996338,8,7,0.9878154319035544,0.2163114118270791
12_to_14,12-14,relative_spread,0.1230920309375929,3,0,0.9878154319035544,0.1246103542848994
14_to_15,14-15,mother_coupling,0.0992173997440685,6,2,0.5602820957541266,0.1770847230278244
14_to_15,14-15,mother_neighbor_moment,0.1623680094076887,9,2,0.5602820957541266,0.2897968909556982
14_to_15,14-15,mother_polynomial,0.0722050166249243,4,2,0.5602820957541266,0.1288726110866313
14_to_15,14-15,neighbor_moment,0.1211265554079005,6,6,0.5602820957541266,0.2161885170449128
14_to_15,14-15,relative_spread,0.1053651145695446,5,3,0.5602820957541266,0.1880572578849331
15_to_24,15-24,mother_coupling,0.1878499228969486,8,5,0.8941450507609893,0.2100888695151566
15_to_24,15-24,mother_neighbor_moment,0.2327585503380764,7,1,0.8941450507609893,0.2603140845436433
15_to_24,15-24,mother_polynomial,0.1791023723796174,6,4,0.8941450507609893,0.2003057247000214
15_to_24,15-24,neighbor_moment,0.2146744009852723,5,3,0.8941450507609893,0.2400890110643314
15_to_24,15-24,relative_spread,0.0797598041610746,4,0,0.8941450507609893,0.0892023101768472
4_6_7_8,4-8,mother_coupling,0.2190259058309123,7,4,0.9377752379315902,0.2335590629520226
4_6_7_8,4-8,mother_neighbor_moment,0.0811831317955761,5,1,0.9377752379315902,0.0865699247664485
4_6_7_8,4-8,mother_polynomial,0.232245875932754,6,4,0.9377752379315902,0.2476562256484918
4_6_7_8,4-8,neighbor_moment,0.1862174978386887,6,3,0.9377752379315902,0.1985736990128044
4_6_7_8,4-8,relative_spread,0.2191028265336591,6,1,0.9377752379315902,0.2336410876202325
8_to_12,8-12,mother_coupling,0.12368832092407,8,4,0.9132969230670176,0.1354305678691022
8_to_12,8-12,mother_neighbor_moment,0.2048346799965414,7,2,0.9132969230670176,0.2242804884403521
8_to_12,8-12,mother_polynomial,0.2507821419708188,7,4,0.9132969230670176,0.274589934157061
8_to_12,8-12,neighbor_moment,0.1093666387244211,4,4,0.9132969230670176,0.1197492687888928
8_to_12,8-12,relative_spread,0.2246251414511663,4,2,0.9132969230670176,0.2459497407445917
