method,raw_stage,agg_stage,target,R2,MSE,WAIC,K,n
FixedTermOLS-MSEgreedy,4_6_7_8,4_to_8,x_mean,0.99686060081288,0.3433328817725797,1578.7141711037004,4,888
FixedTermOLS-MSEgreedy,4_6_7_8,4_to_8,x_half,0.5884414498590846,0.5742449712122851,2041.46195017434,7,888
FixedTermOLS-MSEgreedy,4_6_7_8,4_to_8,y_mean,0.9558649650301982,0.0990364445454461,476.74141052881566,5,888
FixedTermOLS-MSEgreedy,4_6_7_8,4_to_8,y_half,0.8518997239996176,0.1985231686603225,1096.2725082984202,6,888
FixedTermOLS-MSEgreedy,4_6_7_8,4_to_8,z_mean,0.99163666245195,0.3366840073563278,1563.3487534690585,5,888
FixedTermOLS-MSEgreedy,4_6_7_8,4_to_8,z_half,0.9111976943730784,0.2418835274700514,1273.6973583765716,7,888
FixedTermOLS-MSEgreedy,8_to_12,8_to_12,x_mean,0.9946506154061112,0.4384655402242007,1765.6874252203438,5,872
FixedTermOLS-MSEgreedy,8_to_12,8_to_12,x_half,0.6576994342771202,0.6051161758328494,2048.5928447846304,6,872
FixedTermOLS-MSEgreedy,8_to_12,8_to_12,y_mean,0.9813977223110124,0.3056211835310781,1456.952235654725,8,872
FixedTermOLS-MSEgreedy,8_to_12,8_to_12,y_half,0.925467983593874,0.2075603060701552,1119.554120819531,8,872
FixedTermOLS-MSEgreedy,8_to_12,8_to_12,z_mean,0.9814152954399394,0.4737269766920944,1839.1365677186789,8,872
FixedTermOLS-MSEgreedy,8_to_12,8_to_12,z_half,0.8334991287610357,0.4769929556687809,1845.1277009088096,8,872
FixedTermOLS-MSEgreedy,12_to_14,12_to_15,x_mean,0.9917552084580608,0.4626926711945038,917.292591983204,8,436
FixedTermOLS-MSEgreedy,12_to_14,12_to_15,x_half,0.2399088011012162,0.3577644733737271,797.1585445079651,4,436
FixedTermOLS-MSEgreedy,12_to_14,12_to_15,y_mean,0.8969589446037389,0.2908690645831541,706.9058215062961,4,436
FixedTermOLS-MSEgreedy,12_to_14,12_to_15,y_half,0.1439885559777494,0.1786386990327554,496.3523809682712,5,436
FixedTermOLS-MSEgreedy,12_to_14,12_to_15,z_mean,0.9194157932364144,0.4102738424695768,862.8687318294512,7,436
FixedTermOLS-MSEgreedy,12_to_14,12_to_15,z_half,0.0853776268311741,0.2550388779199559,657.59047356049,8,436
FixedTermOLS-MSEgreedy,14_to_15,12_to_15,x_mean,0.3425106659453891,0.3105995307358684,320.3644708395818,5,186
FixedTermOLS-MSEgreedy,14_to_15,12_to_15,x_half,0.1235913166787846,0.2970818962264186,316.0881117546237,7,186
FixedTermOLS-MSEgreedy,14_to_15,12_to_15,y_mean,0.1246636015606786,0.2169087939320008,255.58536715667464,6,186
FixedTermOLS-MSEgreedy,14_to_15,12_to_15,y_half,0.0172110074673295,0.1579535958313271,186.5906928886683,1,186
FixedTermOLS-MSEgreedy,14_to_15,12_to_15,z_mean,0.2753863444558522,0.2487149028640146,283.03580506647967,7,186
FixedTermOLS-MSEgreedy,14_to_15,12_to_15,z_half,0.1350347312886555,0.5469427704355398,431.6106685494699,8,186
FixedTermOLS-MSEgreedy,15_to_24,15_to_24,x_mean,0.9960844901973313,0.557559926638185,3788.680034216468,8,1674
FixedTermOLS-MSEgreedy,15_to_24,15_to_24,x_half,0.7964275110561823,0.4241631138398478,3330.9215442760087,8,1674
FixedTermOLS-MSEgreedy,15_to_24,15_to_24,y_mean,0.9578794475172058,0.7154235624122076,4206.016224208988,8,1674
FixedTermOLS-MSEgreedy,15_to_24,15_to_24,y_half,0.753716775776879,0.3708038698517243,3103.8609263517105,7,1674
FixedTermOLS-MSEgreedy,15_to_24,15_to_24,z_mean,0.985024751737322,0.7870870476573976,4365.823105773104,8,1674
FixedTermOLS-MSEgreedy,15_to_24,15_to_24,z_half,0.6306369946135766,0.3532679211335105,3020.761455724509,6,1674
