raw_stage,agg_stage,target,target_index,rank,feature,alias,coef,category,interpretation
4_6_7_8,4_to_8,x_mean,1,1,mother_x,m_x,1.032495194766181,mother polynomial,Mother-cell coordinate polynomial: global embryo position / low-order positional correction.
4_6_7_8,4_to_8,x_mean,1,2,mother_x_adj_xj_pow2,\langle x_j^2\rangle_N,0.0165302005732624,adjacent raw moment,Contact-weighted neighbor raw moment: local neighbor position or scale.
4_6_7_8,4_to_8,x_mean,1,3,mother_x_adj_xj_pow3,\langle x_j^3\rangle_N,0.0013939786066685,adjacent raw moment,Contact-weighted neighbor raw moment: local neighbor position or scale.
4_6_7_8,4_to_8,x_mean,1,4,mother_x_adj_xi_xj2,\langle m_xx_j^2\rangle_N,-0.0034509827184833,mother-neighbor coupling,Coupling between mother position and neighbor position; local geometric embedding.
4_6_7_8,4_to_8,x_half,2,1,mother_z_z,m_z^2,-0.0018542468256687,mother polynomial,Mother-cell coordinate polynomial: global embryo position / low-order positional correction.
4_6_7_8,4_to_8,x_half,2,2,mother_x_adj_xj_minus_xi_pow2,\langle (x_j-m_x)^2\rangle_N,0.005205667038111,adjacent relative displacement/spread,Neighbor position relative to mother; squared terms measure local spread.
4_6_7_8,4_to_8,x_half,2,3,mother_y_adj_xj_minus_xi_pow2,\langle (y_j-m_y)^2\rangle_N,0.1088563038850383,adjacent relative displacement/spread,Neighbor position relative to mother; squared terms measure local spread.
4_6_7_8,4_to_8,x_half,2,4,mother_x_adj_xj,\langle x_j\rangle_N,-0.4137383750550382,adjacent raw moment,Contact-weighted neighbor raw moment: local neighbor position or scale.
4_6_7_8,4_to_8,x_half,2,5,mother_x_adj_xj_pow2,\langle x_j^2\rangle_N,0.012048284115055,adjacent raw moment,Contact-weighted neighbor raw moment: local neighbor position or scale.
4_6_7_8,4_to_8,x_half,2,6,mother_2d_couple_xz_xi2_xj,m_x^2m_z,0.0010953676677693,mother 2D coupling,Coupling between two mother-coordinate axes; plane-level geometry.
4_6_7_8,4_to_8,x_half,2,7,mother_y_adj_xi_xj_pow3,\langle (m_yy_j)^3\rangle_N,0.0029965752469176,mother-neighbor coupling,Coupling between mother position and neighbor position; local geometric embedding.
4_6_7_8,4_to_8,y_mean,3,1,mother_x_adj_xj,\langle x_j\rangle_N,-0.2260290964031587,adjacent raw moment,Contact-weighted neighbor raw moment: local neighbor position or scale.
4_6_7_8,4_to_8,y_mean,3,2,mother_x,m_x,-0.1075044023155744,mother polynomial,Mother-cell coordinate polynomial: global embryo position / low-order positional correction.
4_6_7_8,4_to_8,y_mean,3,3,mother_z,m_z,-0.0899154081821391,mother polynomial,Mother-cell coordinate polynomial: global embryo position / low-order positional correction.
4_6_7_8,4_to_8,y_mean,3,4,mother_2d_couple_yz_xi_xj,m_ym_z,-0.0465757839199507,mother 2D coupling,Coupling between two mother-coordinate axes; plane-level geometry.
4_6_7_8,4_to_8,y_mean,3,5,mother_x_adj_xj_pow2,\langle x_j^2\rangle_N,-0.0010754876404917,adjacent raw moment,Contact-weighted neighbor raw moment: local neighbor position or scale.
4_6_7_8,4_to_8,y_half,4,1,mother_x_adj_xj_minus_xi_pow2,\langle (x_j-m_x)^2\rangle_N,0.0097942954144152,adjacent relative displacement/spread,Neighbor position relative to mother; squared terms measure local spread.
4_6_7_8,4_to_8,y_half,4,2,mother_x_adj_xi_xj2,\langle m_xx_j^2\rangle_N,0.0015749514353092,mother-neighbor coupling,Coupling between mother position and neighbor position; local geometric embedding.
4_6_7_8,4_to_8,y_half,4,3,mother_2d_couple_xz_xi_xj2,m_xm_z^2,0.0021473681434549,mother 2D coupling,Coupling between two mother-coordinate axes; plane-level geometry.
4_6_7_8,4_to_8,y_half,4,4,mother_x_adj_xj_pow3,\langle x_j^3\rangle_N,0.000943781255146,adjacent raw moment,Contact-weighted neighbor raw moment: local neighbor position or scale.
4_6_7_8,4_to_8,y_half,4,5,mother_x_adj_xj_pow2,\langle x_j^2\rangle_N,0.0086926235579342,adjacent raw moment,Contact-weighted neighbor raw moment: local neighbor position or scale.
